Karaj,Iran,Karaj Metro[fa],2023,–,2,6.5 km (4.0 mi),-
Tabriz,Iran,Tabriz Metro,2015,2020,18,17.2 km (10.7 mi),-
Tehran,Iran,Tehran Metro,1999,2023,123,168.2 km (104.5 mi),820 (2018)
Brescia,Italy,Brescia Metro,2013,–,17,13.7 km (8.5 mi),18.7 (2019)
Catania,Italy,Catania Metro,1999,2021,10,8.8 km (5.5 mi),5.8 (2018)
Genoa,Italy,Genoa Metro,1990,2012,8,7.1 km (4.4 mi),15.3 (2018)
Milan,Italy,Milan Metro,1964,2022,112,102.5 km (63.7 mi),386.8 (2019)
Naples,Italy,Naples Metro,1993,2021,27,30.8 km (19.1 mi),41.1 (2019)
Rome,Italy,Rome Metro,1955,2018,73,60 km (37 mi),320 (2018)
Turin,Italy,Turin Metro,2006,2021,23,15.1 km (9.4 mi),42.5 (2018)
Fukuoka,Japan,Fukuoka City Subway,1981,2023,36,31.4 km (19.5 mi),173.3 (2019)
Hiroshima,Japan,Astram Line,1994,2015,22,18.4 km (11.4 mi),24.0 (2019)
Kobe,Japan,Kobe Municipal Subway,1977,2001,28,38.1 km (23.7 mi),114.2 (2019)
Kyoto,Japan,Kyoto Municipal Subway,1981,2008,31,31.2 km (19.4 mi),146.4 (2019)
Nagoya,Japan,Nagoya Municipal Subway,1957,2011,87,93.3 km (58.0 mi),487.4 (2019)
Osaka,Japan,Osaka Metro,1933,2006,100,129.9 km (80.7 mi),870.4 (2016)
Sapporo,Japan,Sapporo Municipal Subway,1971,1999,46,48.0 km (29.8 mi),226.9 (2019)
Sendai,Japan,Sendai Subway,1987,2015,29,28.7 km (17.8 mi),91.7 (2019)
Tokyo,Japan,Toei Subway,1960,2002,99,109.0 km (67.7 mi),"1,174.9 (2019)"
Tokyo,Japan,Tokyo Metro,1927,2020,142,195.1 km (121.2 mi),"2,757.4 (2019)"
Tokyo,Japan,Rinkai Line,1996,2002,8,12.2 km (7.6 mi),95.0 (2019)
Yokohama,Japan,Yokohama Municipal Subway,1972,2008,40,53.4 km (33.2 mi),243.2 (2019)
Yokohama,Japan,Minatomirai Line,2004,2008,6,4.1 km (2.5 mi),80.6 (2019)
Almaty,Kazakhstan,Almaty Metro,2011,2022,11,13.4 km (8.3 mi),17.1 (2022)
Pyongyang,North Korea,Pyongyang Metro,1973,1987,17,22.5 km (14.0 mi),36 (2009)
Busan,South Korea,Busan Metro,1985,2017,108,139.9 km (86.9 mi),361 (2019)
Daegu,South Korea,Daegu Metro,1997,2015,88,82.9 km (51.5 mi),168 (2019)
Daejeon,South Korea,Daejeon Metro,2006,2007,22,22.7 km (14.1 mi),40 (2019)
Gwangju,South Korea,Gwangju Metro,2004,2008,20,20.1 km (12.5 mi),19 (2019)
Incheon,South Korea,Incheon Subway,1999,2020,56,59.4 km (36.9 mi),116 (2019)
Seoul,South Korea,Seoul Metropolitan Subway,1974,2022,279,345.3 km (214.6 mi),"2,127.2 (2020)"
